rank_mi,rank_t,freq,Freq(R),mi,t,collocate
12736,79,164,42,3.1513,11.364839,走/v
9024,93,123,42,3.9554,10.375628,脸/n
5863,126,76,41,4.4128,8.308529,眼前/t
4881,223,39,39,5.2627,6.082329,住口/n
12815,177,63,39,3.1075,7.016371,为/p
8342,33,288,39,4.2759,16.094555,时/n
9234,112,91,39,3.8483,8.877065,仿佛/d
8338,220,43,38,4.2854,6.221153,发/v
10836,229,43,38,3.6526,6.036006,住/v
10838,183,57,38,3.6363,6.942697,非常/d
8370,233,40,38,4.2305,5.98764,伸出/v
4890,232,38,38,5.1565,5.99158,中止/v
10809,128,81,37,3.6635,8.289719,话/n
11321,162,64,37,3.4769,7.28146,两个/m
12598,152,74,36,3.1693,7.646067,那个/r
5611,242,37,36,4.6374,5.838361,伸手/v
5756,174,54,35,4.5506,7.034896,念头/n
10810,105,107,34,3.6627,9.527281,后/f
5131,237,38,34,4.7754,5.939328,到来/d
5618,222,41,34,4.6263,6.143864,兴奋/v
11317,228,44,34,3.4814,6.039335,过来/t
12424,191,58,34,3.298,6.841461,跑/v
11064,139,75,34,3.5302,7.910664,一切/r
8985,256,36,34,3.9812,5.620082,不再/d
9157,168,59,34,3.8776,7.158579,像是/v
4903,254,34,33,5.1004,5.660981,发起/v
9139,201,50,33,3.9019,6.598024,消失/n
5841,276,32,32,4.4522,5.398432,严肃/a
11518,185,59,32,3.3348,6.919875,很/zg
8648,246,38,32,4.0282,5.786591,一把/m
11301,141,75,32,3.4976,7.893498,手/n
10769,116,90,31,3.7078,8.760766,好像/v
8335,231,40,31,4.2992,6.00331,一道/m
5862,245,37,31,4.415,5.797628,受到/v
11473,255,39,31,3.3914,5.649868,原来/d
11458,81,150,31,3.4013,11.088239,但/c
9151,90,129,31,3.8866,10.589924,然后/c
5829,282,31,30,4.4817,5.318557,冲动/vn
11484,238,43,30,3.3861,5.930209,说道/v
9296,196,53,29,3.7499,6.738967,想到/v
10993,261,37,29,3.5901,5.577667,一件/m
12900,199,57,28,3.0129,6.614514,做/v
11277,145,73,28,3.5134,7.795815,事情/n
9152,218,45,28,3.8842,6.253895,可怕/c
11390,184,58,27,3.4581,6.922797,那样/r
5807,299,29,27,4.4924,5.145912,惊醒/a
9256,202,50,27,3.8188,6.569991,后面/f
12733,169,65,27,3.1526,7.155653,东西/ns
12769,165,67,27,3.1202,7.243949,看到/v
9294,324,28,27,3.7672,4.902859,问道/n
11498,322,30,27,3.3714,4.947955,吓/v
10753,160,63,26,3.7423,7.344143,感觉/n
10786,253,38,26,3.688,5.686106,喊/v
10767,258,37,26,3.7114,5.6184,十分/m
11511,214,50,26,3.3493,6.37727,脸上/s
8469,308,29,26,4.1484,5.081498,一股/m
5760,260,34,26,4.5397,5.580245,背后/f
11327,283,34,25,3.4681,5.304044,新/a
11002,217,47,25,3.5856,6.284622,人们/n
10834,319,29,25,3.6537,4.95727,双手/n
12567,241,43,25,3.2065,5.847082,明白/nr
11492,180,60,24,3.3775,7.000663,女人/n
12878,234,46,24,3.0575,5.967665,笑/v
12563,157,69,24,3.2097,7.408792,这种/r
12566,210,52,24,3.2087,6.431134,头/n
9295,121,86,24,3.7668,8.59231,接着/c
4973,344,24,24,4.9656,4.742193,传出/v
11504,213,50,24,3.364,6.384278,母亲/n
11292,335,28,24,3.4983,4.823257,大声/m
5875,342,25,24,4.364,4.757183,举起/v
11496,115,95,24,3.3733,8.806221,眼睛/n
11474,159,66,23,3.3906,7.349372,似乎/d
11302,290,33,23,3.4966,5.235609,一条/m
8360,307,29,23,4.2386,5.099902,全身/n
11004,230,43,23,3.5812,6.009557,有些/r
11512,208,51,23,3.3491,6.440588,吃/v
12447,235,44,23,3.2707,5.945953,而且/c
10757,181,57,23,3.7248,6.978797,说话/v
12887,303,34,23,3.0473,5.125575,几乎/d
10898,236,42,22,3.5979,5.945491,回来/v
11490,292,33,22,3.3792,5.192478,所有/b
8484,364,24,22,4.1124,4.615752,响起/v
4924,359,23,22,5.051,4.651172,冲出/v
11318,360,26,22,3.4807,4.642253,抓住/v
10752,154,67,22,3.7427,7.573894,不知/v
8642,271,34,22,4.0473,5.478263,想法/v
11521,331,29,22,3.3348,4.851447,坐/v
9039,279,33,22,3.9198,5.365004,转身/v
12584,275,37,21,3.1956,5.418806,身上/s
12508,318,31,21,3.2229,4.971448,地上/s
12494,346,28,21,3.2353,4.729608,另/r
12586,187,60,21,3.1919,6.898304,这些/r
12821,250,42,21,3.0978,5.723745,小/a
8482,215,45,21,4.1263,6.324072,黑暗/z
9235,131,78,21,3.8455,8.217363,这里/r
8973,312,29,21,4.003,5.049291,恐惧/an
8974,356,25,21,4.0014,4.687807,口/q
5752,384,21,20,4.5572,4.38793,升起/v
5588,119,81,20,4.6635,8.64486,脸色/n
11065,270,36,20,3.5275,5.479678,一般/a
8337,291,30,20,4.2875,5.196757,身后/f
11478,351,27,20,3.3893,4.700241,一张/m
11274,102,117,19,3.5257,9.877485,现在/t
4978,416,19,19,4.9389,4.216792,倒下/v
11431,302,32,19,3.416,5.12687,身边/s
11055,374,24,19,3.5448,4.479196,一块/m
12764,265,39,19,3.1284,5.530842,之/u
9027,314,29,19,3.9449,5.035487,转/v
12562,205,53,19,3.211,6.493921,过去/t
12592,294,34,19,3.1839,5.189313,刚才/t
9293,348,26,19,3.7685,4.72486,动/v
9032,448,19,18,3.9389,4.074685,惊/v
5120,445,18,18,4.8043,4.090799,伸出手/v
12591,293,34,18,3.1839,5.189313,大家/n
8980,340,26,18,3.9909,4.778311,向前/t
11276,107,101,18,3.5173,9.172184,但是/c
11012,149,70,18,3.5693,7.661776,父亲/n
8355,361,24,18,4.2474,4.64104,似地/d
5585,474,17,17,4.6674,3.960853,作出/v
9144,404,21,17,3.8943,4.274386,吃惊/a
5586,475,17,17,4.6674,3.960853,压低/v
9290,410,21,17,3.773,4.247352,受/v
9273,434,20,17,3.7988,4.150795,响/v
9281,369,24,17,3.7905,4.544945,里面/f
12465,194,57,17,3.2489,6.755633,·/x
9199,357,25,17,3.8702,4.658074,床上/n
12417,333,29,17,3.3102,4.842245,身子/n
8649,373,23,17,4.0255,4.501346,脚步声/n
11509,252,40,17,3.353,5.705571,离开/v
10895,330,28,17,3.603,4.856034,许多/m
8422,32,299,17,4.1795,16.337302,时候/n
4969,441,18,17,4.9812,4.10832,袭来/v
4886,462,17,16,5.1744,4.008928,枪响/vn
10870,382,23,16,3.6296,4.408351,激动/a
9200,406,21,16,3.8692,4.268979,一头/m
8359,306,29,16,4.2386,5.099902,巨大/a
10839,440,20,16,3.6344,4.112013,强烈/a
11392,272,36,16,3.4495,5.450771,它们/r
4904,465,17,16,5.1004,4.002918,发问/v
5757,453,18,16,4.5506,4.061599,向上/d
8640,352,25,16,4.048,4.697718,意外/a
5806,431,19,16,4.4953,4.165633,叫喊/v
10812,313,30,16,3.6568,5.042952,门口/s
11477,350,27,16,3.3893,4.700241,奇怪/v
4929,467,17,16,5.03,3.996909,发火/v
12446,188,59,15,3.275,6.887618,看着/v
8390,519,16,15,4.2056,3.783199,大叫/v
13409,226,48,15,3.0009,6.062742,孩子/n
11405,561,16,15,3.428,3.628341,其/r
8425,113,88,15,4.1649,8.857862,之后/f
5832,481,17,15,4.4681,3.936815,发疯/v
5878,548,15,15,4.3348,3.68106,清晰/a
8641,353,25,15,4.048,4.697718,笑声/n
12429,310,32,15,3.2904,5.078689,声/n
5876,74,148,15,4.3446,11.566742,太/d
10758,458,19,15,3.7248,4.02921,颤抖/v
10762,300,31,15,3.7192,5.145003,害怕/v
4883,493,16,15,5.2474,3.894697,刮起/v
12825,197,57,15,3.0963,6.667023,便/d
5129,531,15,14,4.7823,3.732239,袭/v
9210,570,15,14,3.8494,3.60429,提出/v
11472,207,51,14,3.3926,6.461405,于是/c
5872,544,15,14,4.3838,3.687457,两手/m
11429,249,40,14,3.4184,5.732994,（/x
11066,402,22,14,3.5275,4.283661,旁边/f
8977,495,17,14,3.996,3.864703,上来/t
11291,554,16,14,3.502,3.646924,吓了一跳/v
11514,315,31,14,3.3465,5.020399,门/n
22,489,16,14,5.5275,3.91328,发病/v
12587,447,21,14,3.188,4.07974,来到/v
12493,517,18,14,3.238,3.792957,成/v
12889,533,18,14,3.0453,3.728716,虽然/c
5619,40,243,14,4.623,14.955852,这时/r
10773,460,19,14,3.7001,4.023526,寂静/a
10785,378,23,14,3.6885,4.42385,远处/s
8987,472,18,13,3.9812,3.973998,一场/m
12894,485,20,13,3.0421,3.929181,回/v
11008,420,21,13,3.5774,4.19869,嘴/n
11036,296,32,13,3.5667,5.17943,象/n
10994,520,17,13,3.5894,3.780572,陌生/n
8981,656,13,13,3.9909,3.378776,使劲/v
11505,355,27,13,3.3618,4.690704,希望/v
5871,581,14,13,4.3873,3.562864,做出/v
12888,532,18,13,3.0453,3.728716,需要/v
11433,325,29,13,3.4115,4.879053,下去/t
10837,239,41,13,3.648,5.892343,身体/n
8976,446,19,13,3.9978,4.086053,有个/r
8599,317,28,13,4.0978,4.98246,沉默/a
12741,376,25,13,3.1458,4.435079,整个/b
10900,586,15,13,3.5979,3.553111,火/n
5804,578,14,13,4.4983,3.576108,停顿/v
10808,393,22,13,3.665,4.320639,令人/nrt
8613,371,23,13,4.077,4.511679,一口气/i
5137,572,14,13,4.7499,3.602595,巨响/vn
4977,613,13,13,4.9478,3.488728,勒住/v
12829,211,53,13,3.0912,6.425853,前/f
11454,566,16,13,3.4041,3.622147,转过身/v
11516,151,72,12,3.3449,7.650154,先生/n
8978,496,17,12,3.996,3.864703,苍白/z
11316,103,115,12,3.4834,9.764952,可是/c
5853,542,15,12,4.4344,3.693855,骚动/v
12883,398,24,12,3.0494,4.307237,那种/r
8481,336,26,12,4.1284,4.807467,一辆/m
11306,298,32,12,3.4894,5.15315,几个/m
4932,664,12,12,5.0129,3.356813,加速/v
8982,57,187,12,3.99,12.814146,却/d
10997,634,14,12,3.5876,3.430424,拍/v
12742,589,16,12,3.145,3.547815,露出/v
9203,387,22,12,3.8635,4.368182,外面/f
8361,592,14,12,4.2353,3.542998,主意/n
10768,148,69,12,3.7087,7.671281,心里/s
11329,278,35,12,3.4641,5.380001,有点/n
11320,138,76,12,3.4795,7.936208,可/v
12500,547,17,12,3.2325,3.684422,声/q
5622,537,15,12,4.5979,3.713047,刺耳/n
9040,568,15,12,3.9198,3.617085,面对/v
9302,622,14,12,3.7499,3.463534,尖叫/v
12869,793,12,12,3.0618,3.049252,猛地/d
11493,504,18,12,3.3755,3.833837,不安/a
11499,456,20,12,3.3714,4.039988,进来/v
4981,668,12,12,4.9198,3.34966,倾斜/v
12817,597,16,12,3.106,3.535427,打开/v
12765,593,16,12,3.1254,3.541621,失去/v
9297,411,21,12,3.7499,4.241945,扑/v
12866,414,23,12,3.064,4.22236,如此/c
11060,280,34,11,3.5397,5.329539,情况/n
12499,546,17,11,3.2325,3.684422,如/v
10789,678,13,11,3.6777,3.323801,闪/v
11010,304,31,11,3.5748,5.100501,前面/f
12440,490,19,11,3.279,3.90984,感情/n
5763,683,12,11,4.5275,3.313898,僵硬/a
12414,281,35,11,3.3246,5.325555,）/x
10899,585,15,11,3.5979,3.553111,紧张/a
9036,427,20,11,3.9288,4.178497,愤怒/v
5574,619,13,11,4.7134,3.468112,加快/v
12601,584,16,11,3.1649,3.55401,显得/v
9270,506,17,11,3.8076,3.828647,改变/v
4928,612,13,11,5.0353,3.4956,中风/ns
5126,735,11,11,4.7943,3.197095,受惊/v
8358,551,15,11,4.2417,3.668265,门外/s
4898,660,12,11,5.1124,3.363966,僵住/v
11404,604,15,11,3.4344,3.514726,对面/n
11293,645,14,11,3.4983,3.410558,一时/d
5842,632,13,11,4.4503,3.440624,爆发/v
11279,277,35,11,3.5099,5.396753,房间/n
12820,555,17,11,3.1004,3.642357,同时/c
5874,368,23,11,4.3665,4.563343,叫声/v
11067,403,22,10,3.5275,4.283661,好象/n
11059,297,32,10,3.5404,5.17067,目光/n
11325,807,11,10,3.4723,3.0178,沉重/a
9305,857,10,10,3.7499,2.92722,抱住/v
12898,507,19,10,3.0282,3.824576,高兴/b
9301,621,14,10,3.7499,3.463534,吹/v
23,778,10,10,5.3348,3.083925,不辞而别/i
12495,444,21,10,3.2353,4.09596,家里/s
12763,528,18,10,3.1297,3.757916,并且/c
5127,617,13,10,4.7874,3.474984,大雨/n
5124,733,11,10,4.7943,3.197095,惊吓/v
9262,573,15,10,3.8155,3.597893,桌子/n
9291,390,22,10,3.7719,4.347052,动作/n
4982,669,12,10,4.9198,3.34966,发动/vn
12819,739,13,10,3.1045,3.186361,脚/n
13410,421,23,10,3.0004,4.196528,一位/m
4885,659,12,10,5.2194,3.371118,从天而降/i
4905,723,11,10,5.0938,3.219507,发怒/v
11319,702,13,10,3.4807,3.282569,回头/v
11436,608,15,10,3.4088,3.508328,起身/v
9257,262,36,10,3.8183,5.574657,由于/c
11395,433,21,10,3.4418,4.160842,房子/n
8343,701,12,10,4.2759,3.285287,异常/d
9155,375,23,10,3.8811,4.470348,走进/v
5759,742,11,10,4.5463,3.174683,一间/m
9026,658,13,10,3.9478,3.371904,一惊/a
10874,321,29,10,3.623,4.948068,丈夫/n
8466,764,11,10,4.1504,3.129859,具有/v
8371,644,13,10,4.2279,3.413136,急促/a
10756,412,21,10,3.7272,4.236538,./m
9202,661,13,10,3.8654,3.35816,伸/v
12731,365,27,10,3.159,4.61441,或/c
5613,503,16,10,4.6344,3.838948,袭击/v
8652,605,14,10,4.0129,3.509888,不动/v
8632,268,34,10,4.0648,5.482512,中间/f
8618,828,10,10,4.0718,2.974232,掏出/v
5762,682,12,10,4.5275,3.313898,尖锐/a
9158,367,24,10,3.8754,4.565176,毫无/v
5802,478,17,10,4.5154,3.942825,高大/a
4974,787,10,9,4.9563,3.060419,出走/v
4975,788,10,9,4.9563,3.060419,震/v
4927,868,9,9,5.0453,2.90915,停步/v
9003,564,15,9,3.9563,3.623483,如同/d
12564,837,11,9,3.2093,2.958035,反应/vn
5621,536,15,9,4.5979,3.713047,脑海/n
8423,648,13,9,4.1773,3.406264,闪电/v
11401,370,25,9,3.4395,4.539143,不到/v
10780,516,17,9,3.6944,3.804609,下面/f
11061,524,17,9,3.5397,3.768553,对方/n
8389,759,11,9,4.2093,3.13733,严厉/ad
11391,704,13,9,3.4503,3.275697,熟悉/v
8975,400,21,9,3.9992,4.296013,谈话/vn
