Rank by t,Freq,Freq(L),Freq(R),t值,搭配词
178,67,24,43,7.001787,个/q
179,52,3,49,7.001507,去世/t
180,60,36,24,7.000663,女人/n
181,57,34,23,6.978797,说话/v
182,66,37,29,6.974239,很/d
183,57,19,38,6.942697,非常/d
184,58,31,27,6.922797,那样/r
185,59,27,32,6.919875,很/zg
186,61,54,7,6.902943,正在/t
187,60,39,21,6.898304,这些/r
188,59,44,15,6.887618,看着/v
189,66,26,40,6.885792,用/p
190,56,9,47,6.877402,跳/v
191,58,24,34,6.841461,跑/v
192,52,2,50,6.836580,充满/a
193,55,8,47,6.828189,以/p
194,57,40,17,6.755633,·/x
195,52,47,5,6.754117,后来/t
196,53,24,29,6.738967,想到/v
197,57,42,15,6.667023,便/d
198,59,33,26,6.639238,听/v
199,57,29,28,6.614514,做/v
200,57,17,40,6.601387,与/p
201,50,17,33,6.598024,消失/n
202,50,23,27,6.569991,后面/f
203,57,25,32,6.552160,看见/v
204,57,47,10,6.499650,才/d
205,53,34,19,6.493921,过去/t
206,53,46,7,6.487114,可能/v
207,51,37,14,6.461405,于是/c
208,51,28,23,6.440588,吃/v
209,46,2,44,6.438929,冲/v
210,52,28,24,6.431134,头/n
211,53,40,13,6.425853,前/f
212,46,42,4,6.406050,有时/r
213,50,26,24,6.384278,母亲/n
214,50,24,26,6.377270,脸上/s
215,45,24,21,6.324072,黑暗/z
216,49,42,7,6.306237,时/ng
217,47,22,25,6.284622,人们/n
218,45,17,28,6.253895,可怕/c
219,45,42,3,6.231733,一会儿/m
220,43,5,38,6.221153,发/v
221,55,32,23,6.220134,不是/c
222,41,7,34,6.143864,兴奋/v
223,39,0,39,6.082329,住口/n
224,51,40,11,6.079759,正/d
225,48,40,8,6.073471,?/x
226,48,33,15,6.062742,孩子/n
227,49,19,30,6.044307,并/c
228,44,10,34,6.039335,过来/t
229,43,5,38,6.036006,住/v
230,43,20,23,6.009557,有些/r
231,40,9,31,6.003310,一道/m
232,38,0,38,5.991580,中止/v
233,40,2,38,5.987640,伸出/v
234,46,22,24,5.967665,笑/v
235,44,21,23,5.945953,而且/c
236,42,20,22,5.945491,回来/v
237,38,4,34,5.939328,到来/d
238,43,13,30,5.930209,说道/v
239,41,28,13,5.892343,身体/n
240,48,21,27,5.873199,只/d
241,43,18,25,5.847082,明白/nr
242,37,1,36,5.838361,伸手/v
243,41,34,7,5.811082,然而/c
244,43,35,8,5.809297,如果/c
245,37,6,31,5.797628,受到/v
246,38,6,32,5.786591,一把/m
247,51,43,8,5.774443,吧/y
248,37,34,3,5.756894,这时候/r
249,40,26,14,5.732994,（/x
250,42,21,21,5.723745,小/a
251,46,36,10,5.711941,们/k
252,40,23,17,5.705571,离开/v
253,38,12,26,5.686106,喊/v
254,34,1,33,5.660981,发起/v
255,39,8,31,5.649868,原来/d
256,36,2,34,5.620082,不再/d
257,34,26,8,5.618489,脑子里/n
258,37,11,26,5.618400,十分/m
259,41,28,13,5.598257,-/x
260,34,8,26,5.580245,背后/f
261,37,8,29,5.577667,一件/m
262,36,26,10,5.574657,由于/c
263,37,28,9,5.569520,心/n
264,37,32,5,5.553227,以后/f
265,39,20,19,5.530842,之/u
266,41,24,17,5.516996,多/m
267,40,32,8,5.494019,的话/u
268,34,24,10,5.482512,中间/f
269,37,36,1,5.479906,生活/vn
270,36,16,20,5.479678,一般/a
271,34,12,22,5.478263,想法/v
272,36,20,16,5.450771,它们/r
273,39,23,16,5.435621,望/v
274,39,31,8,5.419751,不会/v
275,37,16,21,5.418806,身上/s
276,32,0,32,5.398432,严肃/a
277,35,24,11,5.396753,房间/n
278,35,23,12,5.380001,有点/n
279,33,11,22,5.365004,转身/v
280,34,23,11,5.329539,情况/n
281,35,24,11,5.325555,）/x
282,31,1,30,5.318557,冲动/vn
283,34,9,25,5.304044,新/a
284,37,13,24,5.300679,问/v
285,48,28,20,5.279535,好/a
286,41,21,20,5.277084,可以/c
287,46,15,31,5.262597,给/p
288,33,25,8,5.257175,世界/n
289,37,17,20,5.239579,已/d
290,33,10,23,5.235609,一条/m
291,30,10,20,5.196757,身后/f
292,33,11,22,5.192478,所有/b
293,34,16,18,5.189313,大家/n
294,34,15,19,5.189313,刚才/t
295,36,24,12,5.182351,那些/r
296,32,19,13,5.179430,象/n
297,32,22,10,5.170670,目光/n
298,32,20,12,5.153150,几个/m
299,29,2,27,5.145912,惊醒/a
300,31,16,15,5.145003,害怕/v
301,35,19,16,5.137090,一点/m
302,32,13,19,5.126870,身边/s
303,34,11,23,5.125575,几乎/d
304,31,20,11,5.100501,前面/f
305,34,23,11,5.100079,一次/m
306,29,13,16,5.099902,巨大/a
307,29,6,23,5.099902,全身/n
308,29,3,26,5.081498,一股/m
309,33,28,5,5.080335,!/x
310,32,17,15,5.078689,声/n
311,37,10,27,5.056278,将/d
312,29,8,21,5.049291,恐惧/an
313,30,14,16,5.042952,门口/s
314,29,10,19,5.035487,转/v
315,31,17,14,5.020399,门/n
316,35,9,26,5.015635,「/x
317,28,15,13,4.982460,沉默/a
318,31,10,21,4.971448,地上/s
319,29,4,25,4.957270,双手/n
320,29,20,9,4.957270,所以/c
321,29,19,10,4.948068,丈夫/n
322,30,3,27,4.947955,吓/v
323,29,26,3,4.938866,表情/n
324,28,1,27,4.902859,问道/n
325,29,16,13,4.879053,下去/t
326,28,24,4,4.874764,心中/s
327,35,22,13,4.860674,没/v
328,33,21,12,4.860364,死/v
329,29,26,3,4.856048,晚上/t
330,28,11,17,4.856034,许多/m
331,29,7,22,4.851447,坐/v
332,27,21,6,4.843292,心情/n
333,29,12,17,4.842245,身子/n
334,27,18,9,4.838524,消息/n
335,28,4,24,4.823257,大声/m
336,26,14,12,4.807467,一辆/m
337,32,16,16,4.793987,更/d
338,28,27,1,4.790480,太太/n
339,31,23,8,4.788993,当/t
340,26,8,18,4.778311,向前/t
341,30,23,7,4.757960,最后/f
342,25,1,24,4.757183,举起/v
343,29,21,8,4.745623,今天/t
344,24,0,24,4.742193,传出/v
345,30,10,20,4.739865,完全/ad
346,28,7,21,4.729608,另/r
347,26,18,8,4.724860,天空/n
348,26,7,19,4.724860,动/v
349,28,21,7,4.701513,问题/n
350,27,11,16,4.700241,奇怪/v
351,27,7,20,4.700241,一张/m
352,25,9,16,4.697718,意外/a
353,25,10,15,4.697718,笑声/n
354,28,19,9,4.696831,男人/n
355,27,14,13,4.690704,希望/v
356,25,4,21,4.687807,口/q
357,25,8,17,4.658074,床上/n
358,24,15,9,4.656213,雨/n
359,23,1,22,4.651172,冲出/v
360,26,4,22,4.642253,抓住/v
