rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
8067,愁容/n,1,2,0,1,4.3348
8068,倍增/v,1,2,0,1,4.3348
8069,信心十足/i,1,2,0,1,4.3348
8070,生活节奏/n,1,2,1,0,4.3348
8071,哀怨/v,1,2,0,1,4.3348
8072,蒙特卡洛/nrt,1,2,1,0,4.3348
8073,妩媚/a,1,2,0,1,4.3348
8074,赖鸣升/nr,1,2,1,0,4.3348
8075,抖动着/l,1,2,1,0,4.3348
8076,十三岁/m,1,2,1,0,4.3348
8077,消化/vn,1,2,1,0,4.3348
8078,詹姆士/nr,1,2,1,0,4.3348
8079,哑口无言/i,1,2,0,1,4.3348
8080,坚挺/a,1,2,0,1,4.3348
8081,回不去/v,1,2,1,0,4.3348
8082,笨重/a,1,2,1,0,4.3348
8083,海民/n,1,2,1,0,4.3348
8084,大方/n,1,2,0,1,4.3348
8085,宏亮/a,1,2,0,1,4.3348
8086,不利/a,1,2,0,1,4.3348
8087,往上/t,1,2,1,0,4.3348
8088,敦厚/a,1,2,1,0,4.3348
8089,天际线/nz,1,2,1,0,4.3348
8090,萝莎妮/nrt,1,2,1,0,4.3348
8091,浮肿/n,1,2,1,0,4.3348
8092,头牛/n,1,2,1,0,4.3348
8093,费达/nr,1,2,1,0,4.3348
8094,小韶/nr,1,2,1,0,4.3348
8095,祖先/nr,1,2,1,0,4.3348
8096,悲怆/a,1,2,0,1,4.3348
8097,慵懒/a,1,2,0,1,4.3348
8098,遭难/v,1,2,1,0,4.3348
8099,然则/c,1,2,1,0,4.3348
8100,四野/ns,1,2,1,0,4.3348
8101,自制/v,1,2,0,1,4.3348
8102,照子/n,1,2,1,0,4.3348
8103,万般/a,1,2,1,0,4.3348
8104,不多/v,1,2,1,0,4.3348
8105,杂乱无章/i,1,2,0,1,4.3348
8106,热衷/n,1,2,1,0,4.3348
8107,渺茫/a,1,2,0,1,4.3348
8108,佐恩/nrt,1,2,0,1,4.3348
8109,里夫斯/nrt,1,2,1,0,4.3348
8110,犀利/a,1,2,0,1,4.3348
8111,生气勃勃/i,1,2,0,1,4.3348
8112,痛苦不堪/i,1,2,0,1,4.3348
8113,梳洗/v,1,2,1,0,4.3348
8114,光滑/a,1,2,0,1,4.3348
8115,稀疏/a,1,2,0,1,4.3348
8116,穷凶极恶/i,1,2,0,1,4.3348
8117,战友/n,1,2,0,1,4.3348
8118,德华/nz,1,2,0,1,4.3348
8119,说不清楚/l,1,2,1,0,4.3348
8120,坚毅/a,1,2,0,1,4.3348
8121,荒诞不经/i,1,2,0,1,4.3348
8122,枯死/v,1,2,1,0,4.3348
8123,甚/d,1,2,0,1,4.3348
8124,迫在眉睫/i,1,2,0,1,4.3348
8125,利家/n,1,2,1,0,4.3348
8126,红点/n,1,2,1,0,4.3348
8127,李金才/nr,1,2,1,0,4.3348
8128,房内/s,1,2,0,1,4.3348
8129,亨德尔/nrt,1,2,1,0,4.3348
8130,气候/n,1,2,1,0,4.3348
8131,耍弄/v,1,2,1,0,4.3348
8132,笔墨/n,1,2,1,0,4.3348
8133,亚萍/nr,1,2,1,0,4.3348
8134,督察/v,1,2,1,0,4.3348
8135,壮观/a,1,2,1,0,4.3348
8136,一朵花/n,1,2,0,1,4.3348
8137,火海/ns,1,2,0,1,4.3348
8138,千军万马/i,1,2,1,0,4.3348
8139,凑合/v,1,2,1,0,4.3348
8140,差劲/n,1,2,0,1,4.3348
8141,赎罪/vn,1,2,0,1,4.3348
8142,谚语/n,1,2,1,0,4.3348
8143,西厢房/nz,1,2,1,0,4.3348
8144,竹木/n,1,2,0,1,4.3348
8145,殊死/v,1,2,0,1,4.3348
8146,全/m,1,2,0,1,4.3348
8147,朦朦胧胧/z,1,2,1,0,4.3348
8148,贵人/n,1,2,1,0,4.3348
8149,售货/n,1,2,1,0,4.3348
8150,堆满/v,1,2,0,1,4.3348
8151,平缓/a,1,2,0,1,4.3348
8152,枣树/n,1,2,1,0,4.3348
8153,漆黑一团/i,1,2,0,1,4.3348
8154,臭/a,1,2,0,1,4.3348
8155,听惯/n,1,2,1,0,4.3348
8156,铁丝网/n,1,2,1,0,4.3348
8157,软软/a,1,2,0,1,4.3348
8158,米卡/nrt,1,2,1,0,4.3348
8159,会客室/n,1,2,1,0,4.3348
8160,纯情/n,1,2,1,0,4.3348
8161,避难所/i,1,2,1,0,4.3348
8162,比作/vn,1,2,1,0,4.3348
8163,色盲/n,1,2,0,1,4.3348
8164,电视台/n,1,2,0,1,4.3348
8165,抛向/v,1,2,0,1,4.3348
8166,木头人/n,1,2,1,0,4.3348
8167,汤/nr,1,2,0,1,4.3348
8168,抖/zg,1,2,0,1,4.3348
8169,小球/n,1,2,1,0,4.3348
8170,变红/v,1,2,0,1,4.3348
8171,水龙头/n,1,2,1,0,4.3348
8172,变色/n,1,2,0,1,4.3348
8173,没法儿/l,1,2,1,0,4.3348
8174,口舌/n,1,2,0,1,4.3348
8175,小张/n,1,2,1,0,4.3348
8176,一族/n,1,2,1,0,4.3348
8177,经纪人/n,1,2,1,0,4.3348
8178,有的是/l,1,2,1,0,4.3348
8179,翠芝/nr,1,2,1,0,4.3348
8180,王和甫/nr,1,2,0,1,4.3348
8181,血头/n,1,2,1,0,4.3348
8182,叫出/v,1,2,0,1,4.3348
8183,昨天夜里/t,1,2,1,0,4.3348
8184,心口/s,1,2,0,1,4.3348
8185,安灼/a,1,2,1,0,4.3348
8186,不好办/i,1,2,1,0,4.3348
8187,一两次/m,1,2,1,0,4.3348
8188,深更半夜/i,1,2,1,0,4.3348
8189,米拉/nrt,1,2,1,0,4.3348
8190,亏了/v,1,2,0,1,4.3348
8191,熊/nr,1,2,1,0,4.3348
8192,利瑟/nrt,1,2,1,0,4.3348
8193,科布/n,1,2,1,0,4.3348
8194,当子/n,1,2,0,1,4.3348
8195,事时/t,1,2,1,0,4.3348
8196,普洛什卡/nrt,1,2,1,0,4.3348
8197,土堤/n,1,2,1,0,4.3348
8198,召回/v,1,2,0,1,4.3348
8199,省长/n,1,2,1,0,4.3348
8200,心意/n,1,2,1,0,4.3348
8201,战俘/n,1,2,1,0,4.3348
8202,白金/n,1,2,1,0,4.3348
8203,月桂/j,1,2,0,1,4.3348
8204,点火/v,1,2,1,0,4.3348
8205,乌尔/nr,1,2,1,0,4.3348
8206,歪着头/v,1,2,1,0,4.3348
8207,衫/ng,1,2,1,0,4.3348
8208,浏览/v,1,2,1,0,4.3348
8209,含含糊糊/z,1,2,1,0,4.3348
8210,鹿泰恒/nr,1,2,1,0,4.3348
8211,轻拍/v,1,2,1,0,4.3348
8212,乘/n,1,2,0,1,4.3348
8213,不怎么样/l,1,2,0,1,4.3348
8214,撒手/v,1,2,0,1,4.3348
8215,斯梅尔/nr,1,2,0,1,4.3348
8216,仆从/n,1,2,0,1,4.3348
8217,踏到/v,1,2,1,0,4.3348
8218,跳过去/v,1,2,0,1,4.3348
8219,前灯/n,1,2,0,1,4.3348
8220,阿花/nr,1,2,1,0,4.3348
8221,查无实据/l,1,2,1,0,4.3348
8222,巴掌/nr,1,2,0,1,4.3348
8223,弹/n,1,2,0,1,4.3348
8224,布伦达/nr,1,2,1,0,4.3348
8225,品质/n,1,2,1,0,4.3348
