rank_mi,rank_t,freq,Freq(L),mi,t,collocate
9716,352,25,24,3.9479,4.676011,半天/m
8976,182,49,24,4.1904,6.616601,旁边/f
12026,193,50,23,3.3993,6.40088,仿佛/d
11830,284,32,23,3.5122,5.161052,一眼/m
12893,378,25,23,3.3416,4.506763,准备/v
11552,62,148,23,3.5768,11.145967,道/q
13918,191,54,23,3.0323,6.450231,两个/m
6059,335,25,23,4.7286,4.811409,随后/d
11408,333,28,23,3.6383,4.866561,门口/s
13287,217,46,23,3.1255,6.005183,孩子/n
8927,359,24,22,4.2002,4.632469,一半/m
13313,242,40,22,3.1071,5.590554,有点/n
12889,254,37,22,3.3604,5.490504,一次/m
5360,369,22,22,5.0747,4.551235,之际/f
9543,261,33,21,4.0222,5.391015,脸色/n
11841,195,49,21,3.501,6.381727,父亲/n
12998,233,41,21,3.2683,5.738546,看看/v
9816,418,21,21,3.8798,4.271284,说完/v
11551,223,41,21,3.5779,5.86693,一些/m
6238,392,21,21,4.5925,4.392635,当儿/t
9820,311,29,20,3.8706,5.017002,屋里/s
11268,266,33,20,3.7707,5.323673,问题/n
12890,273,34,20,3.3596,5.262876,象/n
11769,394,23,20,3.5539,4.387468,有时/r
9846,367,24,20,3.8466,4.558439,刚刚/d
11931,287,32,20,3.4633,5.143955,朋友/n
6053,406,20,20,4.7379,4.304537,不料/n
11496,237,38,20,3.6181,5.662368,身子/n
11267,133,69,20,3.7782,7.701193,一句/m
6299,330,26,19,4.547,4.880899,脑子里/n
9558,362,24,19,4.0009,4.592986,淑英/nrt
9815,53,201,19,3.8816,13.215598,叫/v
12988,303,32,19,3.2721,5.071295,下去/t
13089,370,26,19,3.2126,4.548976,天/q
11988,336,28,19,3.436,4.802591,小/n
11507,309,30,19,3.6046,5.026964,作/v
11402,306,30,19,3.6477,5.040207,床上/n
13225,374,26,19,3.1758,4.534751,儿/n
11908,417,22,18,3.4897,4.272875,谈/v
11526,342,27,18,3.6015,4.768066,无/v
9724,415,21,18,3.9296,4.281836,睡着/v
12937,275,34,18,3.3079,5.242143,）/x
13354,214,47,18,3.073,6.040972,小/a
