rank,搭配词,共现频数,全局频率,左侧,右侧,MI值
4677,王/n,1,1,1,0,5.3701
4678,隐隐作痛/l,1,1,0,1,5.3701
4679,老卢/nr,1,1,0,1,5.3701
4680,手弹/n,1,1,0,1,5.3701
4681,快慰/a,1,1,0,1,5.3701
4682,吃屎/v,1,1,1,0,5.3701
4683,迪予/nr,1,1,1,0,5.3701
4684,小解/v,1,1,0,1,5.3701
4685,孟子/nr,1,1,1,0,5.3701
4686,两千多年/m,1,1,0,1,5.3701
4687,聊起/v,1,1,0,1,5.3701
4688,并以/c,1,1,0,1,5.3701
4689,旗子/n,1,1,1,0,5.3701
4690,卑怯/a,1,1,1,0,5.3701
4691,意境/n,1,1,0,1,5.3701
4692,舒坦/a,1,1,0,1,5.3701
4693,一郎/m,1,1,1,0,5.3701
4694,扁方/n,1,1,0,1,5.3701
4695,电灯光/n,1,1,1,0,5.3701
4696,去生/t,1,1,0,1,5.3701
4697,人喊马嘶/i,1,1,0,1,5.3701
4698,烂醉如泥/i,1,1,1,0,5.3701
4699,小坑/n,1,1,1,0,5.3701
4700,蹦蹦跳跳/v,1,1,1,0,5.3701
4701,胡茬/n,1,1,1,0,5.3701
4702,并不需要/l,1,1,0,1,5.3701
4703,城垛/n,1,1,1,0,5.3701
4704,院墙/n,1,1,1,0,5.3701
4705,得落/v,1,1,0,1,5.3701
4706,圆鼓鼓/z,1,1,1,0,5.3701
4707,粉色/n,1,1,1,0,5.3701
4708,感发/v,1,1,0,1,5.3701
4709,封侯/nr,1,1,1,0,5.3701
4710,隐含/v,1,1,1,0,5.3701
4711,愧/vg,1,1,0,1,5.3701
4712,陬/g,1,1,1,0,5.3701
4713,感悟/v,1,1,0,1,5.3701
4714,铁幕/n,1,1,0,1,5.3701
4715,感着/v,1,1,0,1,5.3701
4716,铁锨/n,1,1,0,1,5.3701
4717,左脚/n,1,1,1,0,5.3701
4718,深呼吸/l,1,1,1,0,5.3701
4719,昭告/v,1,1,1,0,5.3701
4720,罪恶深重/i,1,1,0,1,5.3701
4721,直爽/a,1,1,1,0,5.3701
4722,蒋华/nr,1,1,1,0,5.3701
4723,口齿/n,1,1,0,1,5.3701
4724,大顺/nz,1,1,0,1,5.3701
4725,毛玻璃/n,1,1,1,0,5.3701
4726,带劲/v,1,1,1,0,5.3701
4727,严霜/nr,1,1,1,0,5.3701
4728,旧情/n,1,1,0,1,5.3701
4729,第伊息/nz,1,1,1,0,5.3701
4730,史比兹/nr,1,1,0,1,5.3701
4731,观/n,1,1,1,0,5.3701
4732,脸红脖子粗/l,1,1,0,1,5.3701
4733,投递员/n,1,1,1,0,5.3701
4734,配做/v,1,1,1,0,5.3701
4735,搥/zg,1,1,0,1,5.3701
4736,惊狂/a,1,1,0,1,5.3701
4737,乱卷/n,1,1,0,1,5.3701
4738,横扫/v,1,1,0,1,5.3701
4739,瘅/x,1,1,1,0,5.3701
4740,慌张起来/i,1,1,0,1,5.3701
4741,温续/a,1,1,1,0,5.3701
4742,懒觉/n,1,1,1,0,5.3701
4743,嚷道/v,1,1,0,1,5.3701
4744,慢下来/d,1,1,0,1,5.3701
4745,心殊/a,1,1,1,0,5.3701
4746,和慧/nr,1,1,1,0,5.3701
4747,憨憨/a,1,1,0,1,5.3701
4748,韦尔努/nr,1,1,0,1,5.3701
4749,可亲/v,1,1,1,0,5.3701
4750,白衫子/nr,1,1,1,0,5.3701
4751,妇女界/n,1,1,0,1,5.3701
4752,摩纳哥/ns,1,1,1,0,5.3701
4753,新闻人物/nt,1,1,0,1,5.3701
4754,温室/n,1,1,0,1,5.3701
4755,荚/nr,1,1,0,1,5.3701
4756,豌豆/n,1,1,0,1,5.3701
4757,凌空/nr,1,1,1,0,5.3701
4758,虬干/n,1,1,1,0,5.3701
4759,万种风情/l,1,1,1,0,5.3701
4760,富商/n,1,1,0,1,5.3701
4761,蜜月/n,1,1,1,0,5.3701
4762,论点/n,1,1,1,0,5.3701
4763,无懈可击/i,1,1,1,0,5.3701
4764,吴达元/nr,1,1,0,1,5.3701
4765,期求/n,1,1,1,0,5.3701
4766,飘离/v,1,1,0,1,5.3701
4767,催泪/n,1,1,1,0,5.3701
4768,晴空万里/i,1,1,1,0,5.3701
4769,瓦沟/ns,1,1,0,1,5.3701
4770,上读/v,1,1,0,1,5.3701
4771,甩动/v,1,1,1,0,5.3701
4772,几点钟/m,1,1,1,0,5.3701
